vgse,Vinyl gloves (small),100pk,,,,
vglepf,Vinyl gloves powder free    (large) ,100pk,,,,
vgmepf,Vinyl gloves powder free    (medium),100pk,,,,
vgsepf,Vinyl gloves powder free    (small),100pk,,,,
vgxlepf,Vinyl gloves powder free    (x large),100pk,,,,
lgle,Latex gloves (large) ,100pk,,,,
lgme,Latex gloves (medium) ,100pk,,,,
lgse,Latex gloves (small) ,100pk,,,,
lgxle,Latex gloves (xlarge) ,100pk,,,,
pgle,Poly gloves - (large) ,500pk,,,,
pgme,Poly gloves-  (medium),500pk,,,,
pgse,Poly gloves - (small),500pk,,,,
pglec,Poly gloves-  ( large)     1000pk,1000pk,,,,
pgmec,Poly gloves   (medium) 1000pk,1000pk,,,,
pgsec,Poly  gloves  (small)     1000pk,1000pk,,,,
nitrilspf,Nitril gloves powder free  (small),100pk,,,,
nitrilxlpf,Nitril gloves powder free (xlarge),100pk,,,,
nitrilelpf,Nitril gloves powder free  (large),100pk,,,,
nitrilmpf,Nitril gloves powder free  (medium),100pk,,,,
gfly,Flock lined  (yellow) **large**      (dishes),12 pair,,,,
gflym,Flock lined (yellow) **medium**  (dishes),12 pair,,,,
gflys,Flock lined (yellow)** small**      (dishes),12 pair,,,,
,TAKE OUT FOAM CONTAINERS,,,,,
fst2,Foam  8X8  Fst2  medium (white),200ctn,,,,
fst23,Foam  8x8 medium** 3 comp**  (white),200ctn,,,,
fst3,Foam Fst3  9x9   comp   (white)  ,200ctn,,,,
fst33,Foam  9x9   **3 comp** (white),200ctn,,,,
fst3b,Foam Fst3   9x9  (black) ,200ctn,,,,
fst33b,Foam 9x9 **3 comp** (black) ,200ctn,,,,
fst3v,Foam 9x9 **Vented**  ,200ctn,,,,
fst5 sq5,Foam 5X5 (Sq5) (5/1/4x51/4x27/8) ,500ctn,,,,
sp8,Foam (Hotdog)  SP8 (8X4X3),500ctn,,,,
fst1,Foam   Fst1   (87/8x5 5/8x27/8)   (white)  ,250ctn,,,,
fst6b,Fst6  6x6  hamburger  (black),500ctn,,,,
fst6,Fst6  6x6  hamburger (white),500ctn,,,,
, FOAM SOUP BOWLS,,,,,
foam 8,8 oz Foam soup container    (FC25-8) ,500ctn,,,,
foam 12,12 oz Foam soup container  (FC25-12)  ,500ctn,,,,
foam16,16 oz Foam soup container  (FC25-16),500ctn,,,,
,DELI CONTAINERS (ROUND),,,,,
deli8, 8  oz  deli container( round)  ,500ctn,,,,
deli16,16 oz  deli container (round)   ,500ctn,,,,
deli32,32 oz  deli container (round)   ,500ctn,,,,
,DELI CONTAINERS (RECTANGULAR),,,,,
deli8R,8 oz   deli Combo (Rectangular) (HC08),600ctn,,,,
deli16R,16oz  deli Combo (Rectangular) (HC16),600ctn,,,,
deli24r,24 oz deli Combo (Rectangular) ,300ctn,,,,
deli32R,32 oz deli Combo (Rectangular)  (HC32),200ctn,,,,
Deli48R,48 oz deli Combo  (Rectangular) (HC48),200ctn,,,,
,"MUFFINS , DANISH , SANDWICH CONTAINERS",,,,,
Danish/garlic,Danish / garlic bread hinged containers (pf01-06)  ,200ctn,,,,
muf4,Clear hinged 6pk muffin / 4 oz/ pf0202,300ctn,,,,
pf0201,Clear hinged container  pf0201,250ctn,,,,
strudel,12? Hoagie/Strudel hinged container  ,250ctn,,,,
lunchboxex,Lunchbox extra deep hinged  (pf0101),500ctn,,,,
lunchboxsh,Lunchbox shallow hinged  (pp2010/0103),500ctn,,,,
